Date,^GSPC,sigma_garch,var99_garch
2015-01-05,-1.844721353258727,1.0385372115489193,-3.241622488569184
2015-01-06,-0.8933254690700171,1.2447048412461692,-3.903153407341182
2015-01-07,1.1562735844876304,1.2105170845856585,-3.793455012362337
2015-01-08,1.773016812715569,1.1934874131824749,-3.7388118359030815
2015-01-09,-0.8439322147078786,1.2958276922750271,-4.0671915090598025
2015-01-12,-0.8126616843470486,1.247622010018395,-3.912513738742078
2015-01-13,-0.2581885435816322,1.202261990205891,-3.7669668571770814
2015-01-14,-0.583002896797565,1.1114573879043268,-3.4756017574400833
2015-01-15,-0.9290903004567546,1.0574759120808424,-3.302391174621541
2015-01-16,1.3334893186267298,1.0589128505399894,-3.3070018849473777
2015-01-20,0.1548752433400387,1.09986534615912,-3.438406325560641
2015-01-21,0.472046502218936,1.0101826906627334,-3.150641221137808
2015-01-22,1.5154313070630328,0.9424022327674786,-2.9331537879647196
2015-01-23,-0.5506656279301936,1.0486307586178276,-3.2740096944364123
2015-01-26,0.2565167998623274,0.9994222820162697,-3.1161142537923023
2015-01-27,-1.3478287815857577,0.9220461864681931,-2.867837258736993
2015-01-28,-1.358750281102202,1.0368319059249074,-3.2361506674210423
2015-01-29,0.948951705826357,1.1252716408371835,-3.5199276074692127
2015-01-30,-1.3077099006318498,1.091750949786878,-3.412369628649046
2015-02-02,1.2879170000215516,1.1567639484385732,-3.6209771039997327
2015-02-03,1.4336238577453098,1.1704544658365186,-3.6649059233106316
2015-02-04,-0.4164706572452961,1.2080246429785082,-3.785457504757555
2015-02-05,1.0238810710909236,1.1268957455341497,-3.52513887886979
2015-02-06,-0.342402761187852,1.1035401940496692,-3.4501978250552625
2015-02-09,-0.4256239310481708,1.0287903005206946,-3.210347535187031
2015-02-10,1.0618979554062369,0.9696005083694702,-3.020425006411674
2015-02-11,-0.0029034010158247,0.9785541125883821,-3.0491544729819378
2015-02-12,0.9598295065916026,0.9015908278886268,-2.8022020657883115
2015-02-13,0.4066459227779422,0.9057589481734206,-2.8155763304369423
2015-02-17,0.1596299697798396,0.8455736205320284,-2.6224594228522258
2015-02-18,-0.0314358623228748,0.7821053734926687,-2.4188085983340843
