date,return,var99_sv_mean,var99_sv_lo,var99_sv_hi,var99_garch
2024-01-04,-0.3434271663317428,-1.5152088958857843,-2.5592021741861495,-0.8623391549914888,-2.21203571602466
2024-01-05,0.182402163943398,-1.5140895234300797,-2.473835170531053,-0.8599987773607635,-2.127021128086072
2024-01-08,1.401594543635314,-1.5374160273623936,-2.4482326608148495,-0.8843482269100722,-1.9792991101114303
2024-01-09,-0.1478993852317584,-1.6026511710877298,-2.5901757222063697,-0.9546352296143512,-2.5091807610065664
2024-01-10,0.5649980650495912,-1.5353946953022326,-2.4500755351808863,-0.8655694706853194,-2.3365844533056785
2024-01-11,-0.0671280836961164,-1.5224231222553692,-2.4851764939849987,-0.8680035217462441,-2.247904594956955
2024-01-12,0.0750693753033959,-1.4769181130806752,-2.451903737632134,-0.8154189749343169,-2.093125213412708
2024-01-16,-0.3738319052356834,-1.4940111941944443,-2.4952718346040323,-0.8184079755592361,-1.9457877107813657
2024-01-17,-0.5632731271107821,-1.5213844875928149,-2.524783966593203,-0.8373993524406745,-1.9121249252364003
2024-01-18,0.8766720726243148,-1.5799092627520468,-2.5796511768442363,-0.8810762247226763,-1.975805874446826
2024-01-19,1.2238308232548512,-1.6387132985407906,-2.7304279556304545,-0.9437558017093677,-2.104224527452198
2024-01-22,0.2191921187231685,-1.6801503870326064,-2.941170868843097,-0.9763496805630179,-2.446630943230512
2024-01-23,0.2917115340764486,-1.6366418450675964,-2.746868925096675,-0.9192897677196815,-2.266249240762039
2024-01-24,0.0811598976216865,-1.6180372708294768,-2.821195309897016,-0.9103546933559667,-2.1155209146033203
2024-01-25,0.524657813497798,-1.6110513751503708,-2.7332582083227535,-0.845973970179048,-1.9655768988049855
2024-01-26,-0.0651997755426364,-1.652581102790336,-2.801632367509807,-0.9170870128416998,-1.9167792401818216
2024-01-29,0.7528365505246204,-1.687771775114784,-2.8089766415413258,-0.9212924966304799,-1.8010151344534573
2024-01-30,-0.0600830396978616,-1.7942184828565078,-2.9623288910913916,-1.0232816351514478,-1.8920916309449631
2024-01-31,-1.6236851740733682,-1.861133398267158,-2.9570400167814257,-1.0806399345441537,-1.7786350277850071
2024-02-01,1.2416286114049784,-1.9701696679933078,-3.193882560533394,-1.182873501629982,-2.780985634252523
2024-02-02,1.062777072263312,-1.988243608576367,-3.217106446185485,-1.168688597430276,-2.9659929266946277
2024-02-05,-0.3191424709283971,-1.9133213188271063,-3.1924726218910044,-1.0993364951704017,-3.005135149048438
2024-02-06,0.2307745931748107,-1.8607595354583533,-3.139042670668434,-1.0672578581376437,-2.8112281875336476
2024-02-07,0.8207682594008627,-1.8054608451637542,-2.9137392427250672,-1.0298931036203094,-2.592538449753858
2024-02-08,0.0570420540090595,-1.814814667920431,-2.9753246219335883,-1.026365985732274,-2.5720537036596856
2024-02-09,0.5725917128795516,-1.7918073348115386,-2.9738287605624367,-0.9996323901906995,-2.37249592533006
2024-02-12,-0.0949404142652441,-1.8062812276796332,-3.0128188390559534,-0.9996323720339763,-2.28142104406159
2024-02-13,-1.3768609419845443,-1.8566476057286407,-3.0248701842274346,-1.0523064758757439,-2.126582398581716
2024-02-14,0.9534168304216808,-1.9232002104642765,-3.1132011046020183,-1.1428748863717886,-2.7456391495074643
2024-02-15,0.580437267404004,-1.92530056947841,-3.0717078114993437,-1.122996959720362,-2.76571848210989
2024-02-16,-0.4815043575961042,-1.889922929370429,-3.0230658789027163,-1.1402395521344009,-2.623933312781739
2024-02-20,-0.602342646581725,-1.9026134884796462,-3.070341267137769,-1.0691187034737997,-2.530377718150766
2024-02-21,0.1263401495103598,-1.913188431753817,-3.1707424466859853,-1.0941400596290887,-2.502663446247385
2024-02-22,2.090288866640342,-1.926399500290746,-3.1226246013553016,-1.1862570736075906,-2.31057354863514
2024-02-23,0.0347887026502183,-2.012156514977019,-3.2091426701718633,-1.2331422671852503,-3.370638957144182
